light,temp
963,55.98
958,55.55
964,55.98
967,56.71
960,58.30
960,57.43
964,56.13
968,56.42
959,55.84
960,56.56
963,56.71
965,55.40
963,55.98
960,55.98
967,57.29
968,57.29
962,56.71
963,57.72
964,55.98
969,55.98
960,57.14
958,56.71
967,56.27
968,57.14
962,57.29
962,57.14
966,56.71
966,56.71
960,56.13
962,55.40
968,56.13
965,56.56
960,56.42
958,56.13
965,55.55
970,55.98
960,57.14
958,55.98
966,57.72
967,57.29
964,56.27
960,56.13
965,56.42
968,57.14
959,56.56
962,57.0
968,56.71
964,56.42
959,56.71
961,56.56
965,56.42
968,56.56
960,56.13
962,56.56
968,57.14
965,55.55
960,57.58
961,56.56
965,56.71
968,57.87
962,57.14
966,57.14
967,56.71
965,56.71
960,56.13
962,56.13
966,56.71
967,56.42
960,57.14
957,54.39
965,55.55
967,57.14
960,57.43
961,56.13
966,54.97
967,57.58
960,56.42
961,56.71
970,56.71
967,57.29
961,55.55
963,56.13
967,55.98
964,56.71
958,57.14
960,57.43
966,56.56
966,55.55
962,57.29
961,56.71
967,57.29
967,55.55
960,56.71
962,56.71
966,55.55
966,56.71
959,55.55
964,56.56
968,57.29
968,56.13
962,57.72
960,54.97
969,56.71
966,57.72
961,56.71
963,56.56
966,56.71
970,58.30
961,57.14
960,56.13
965,56.13
966,55.40
962,57.43
962,56.71
970,57.29
967,56.56
957,56.71
962,55.98
967,56.71
964,57.29
962,55.84
962,54.97
969,56.71
968,56.56
958,56.71
962,56.13
968,56.71
964,56.71
956,55.55
963,56.71
968,57.14
964,55.55
960,57.29
962,57.58
967,54.97
964,56.56
960,56.13
964,56.13
968,57.29
970,57.87
962,55.55
961,56.42
